110 Anas superciliosa \xd7 platyrhynchos (Pacific Black Duck \xd7 Mallard hybrid),-1
111 Icterus pustulatus (Streak-backed Oriole),-1
112 Icterus gularis (Altamira Oriole),0
113 Carduelis cannabina (Eurasian Linnet),-1
114 Catharus minimus (Gray-cheeked Thrush),-1
115 Amaurornis phoenicurus (White-breasted Waterhen),-1
116 Pavo cristatus (Indian Peafowl),-1
117 Rallus crepitans (Clapper Rail),-1
118 Nestor meridionalis septentrionalis (North Island Kaka),-1
119 Pipilo chlorurus (Green-tailed Towhee),-1
120 Pipilo maculatus (Spotted Towhee),-1
121 Pipilo erythrophthalmus (Eastern Towhee),-1
122 Cairina moschata domestica (Domestic Muscovy Duck),-1
123 Phalacrocorax varius (Pied Cormorant),-1
124 Picoides dorsalis (American Three-toed Woodpecker),-1
125 Picoides nuttallii (Nuttall's Woodpecker),-1
126 Picoides scalaris (Ladder-backed Woodpecker),-1
127 Callipepla gambelii (Gambel's Quail),-1
128 Pyrrhula pyrrhula (Eurasian Bullfinch),-1
129 Phalacrocorax brasilianus (Neotropic Cormorant),-1
130 Picoides pubescens (Downy Woodpecker),-1
131 Colinus virginianus (Northern Bobwhite),-1
132 Sporophila torqueola (White-collared Seedeater),-1
133 Picoides villosus (Hairy Woodpecker),-1
134 Calidris pusilla (Semipalmated Sandpiper),-1
135 Picoides arcticus (Black-backed Woodpecker),-1
136 Aythya marila (Greater Scaup),-1
137 Phaethon aethereus (Red-billed Tropicbird),-1
138 Sturnella magna (Eastern Meadowlark),-1
139 Melopsittacus undulatus (Budgerigar),-1
140 Aythya affinis (Lesser Scaup),-1
141 Aythya novaeseelandiae (New Zealand Scaup),-1
142 Cyrtonyx montezumae (Montezuma Quail),-1
143 Pelecanus occidentalis (Brown Pelican),-1
144 Cinclus cinclus (White-throated Dipper),-1
145 Chen rossii (Ross's Goose),-1
146 Callipepla californica (California Quail),-1
147 Quiscalus quiscula (Common Grackle),0
148 Quiscalus mexicanus (Great-tailed Grackle),-1
149 Callipepla squamata (Scaled Quail),-1
150 Dryocopus pileatus (Pileated Woodpecker),-1
151 Passerina caerulea (Blue Grosbeak),-1
152 Amazilia beryllina (Berylline Hummingbird),-1
153 Geothlypis trichas (Common Yellowthroat),-1
154 Trogon melanocephalus (Black-headed Trogon),-1
155 Sylvia communis (Greater Whitethroat),-1
156 Pinicola enucleator (Pine Grosbeak),0
157 Coccothraustes vespertinus (Evening Grosbeak),0
158 Coccothraustes coccothraustes (Hawfinch),-1
159 Vermivora chrysoptera (Golden-winged Warbler),-1
160 Opisthocomus hoazin (Hoatzin),-1
161 Setophaga coronata coronata (Myrtle Warbler),-1
162 Diglossa baritula (Cinnamon-bellied Flowerpiercer),-1
163 Saltator coerulescens (Grayish Saltator),-1
164 Saltator atriceps (Black-headed Saltator),-1
165 Sicalis flaveola (Saffron Finch),-1
166 Aix galericulata (Mandarin Duck),-1
167 Junco hyemalis hyemalis (Slate-colored Junco),0
168 Eupsittula canicularis (Orange-fronted Parakeet),-1
169 Microcarbo melanoleucos (Little Pied Cormorant),-1
170 Piranga rubra (Summer Tanager),-1
171 Piranga olivacea (Scarlet Tanager),-1
172 Piranga flava (Hepatic Tanager),-1
173 Amphispiza bilineata (Black-throated Sparrow),0
174 Larus dominicanus (Dominican Gull),-1
175 Piaya cayana (Squirrel Cuckoo),-1
176 Aimophila ruficeps (Rufous-crowned Sparrow),-1
177 Melanerpes lewis (Lewis's Woodpecker),-1
178 Melanerpes uropygialis (Gila Woodpecker),-1
179 Passerculus sandwichensis (Savannah Sparrow),-1
180 Melanerpes pucherani (Black-cheeked Woodpecker),-1
181 Salpinctes obsoletus (Rock Wren),-1
182 Melanerpes carolinus (Red-bellied Woodpecker),-1
183 Melanerpes chrysogenys (Golden-cheeked Woodpecker),-1
184 Melanerpes formicivorus (Acorn Woodpecker),-1
185 Colaptes auratus (Northern Flicker),-1
186 Basileuterus rufifrons (Rufous-capped Warbler),-1
187 Larus michahellis (Yellow-legged Gull),-1
188 Ramphocelus passerinii (Passerini's Tanager),-1
189 Athene cunicularia (Burrowing Owl),-1
190 Branta hutchinsii (Cackling Goose),-1
191 Fringilla montifringilla (Brambling),-1
192 Fringilla coelebs (Common Chaffinch),-1
193 Junco hyemalis (Dark-eyed Junco),0
194 Cuculus canorus (Common Cuckoo),-1
195 Junco phaeonotus (Yellow-eyed Junco),-1
196 Ammodramus nelsoni (Nelson's Sparrow),0
197 Ammodramus savannarum (Grasshopper Sparrow),0
198 Ammodramus maritimus (Seaside Sparrow),0
199 Coccyzus erythropthalmus (Black-billed Cuckoo),-1
200 Coccyzus minor (Mangrove Cuckoo),-1
201 Coccyzus americanus (Yellow-billed Cuckoo),-1
202 Nucifraga columbiana (Clark's Nutcracker),-1
203 Crotophaga sulcirostris (Groove-billed Ani),-1
204 Pooecetes gramineus (Vesper Sparrow),0
205 Arremonops rufivirgatus (Olive Sparrow),0
206 Geococcyx californianus (Greater Roadrunner),-1
207 Geococcyx velox (Lesser Roadrunner),-1
208 Coereba flaveola (Bananaquit),-1
209 Passerina ciris (Painted Bunting),-1
210 Alectura lathami (Australian Brushturkey),-1
211 Passerina leclancherii (Orange-breasted Bunting),-1
212 Passerina amoena (Lazuli Bunting),-1
213 Icteria virens (Yellow-breasted Chat),-1
214 Crax rubra (Great Curassow),-1
215 Penelope purpurascens (Crested Guan),-1
216 Copsychus malabaricus (White-rumped Shama),-1
